Angle difference to Center;Angle difference to target;Center safety zone in degrees;Center visual changed from;Center visual changed to;Current round;Current Target Index X;Current Target Index Y;Email;Event;Eye gaze confidence treshhold;Framecount;Gaze Direction local X;Gaze Direction local Y;Gaze Direction local Z;Gaze Direction world X;Gaze Direction world Y;Gaze Direction world Z;Head Position World X;Head Position World Y;Head Position World Z;Head Rotation Euler World X;Head Rotation Euler World Y;Head Rotation Euler World Z;Number of rounds left;ParticipantID;Pupil time;Scenario;SessionID;Target Position World space X;Target Position World space Y;Target Position World space Z;Target Rotation World space X;Target Rotation World space Y;Target Rotation World space Z;Target safety zone in degrees;Target shape actual;Target shape recognized by user;Target size;Target visual changed from;Target visual changed to;TestID;Time since last event;Timestamp;Unity to pupil time offset;Wall angle from left to right X;Wall angle from left to right Y;Wall angle spread per target;Wall center Index X;Wall center Index Y;Wall center world space position X;Wall center world space position Y;Wall center world space position Z;Wall target count X;Wall target count Y
NULL;NULL;8.0000;NULL;NULL;1;NULL;NULL;NULL;TestStarted;0.6500;53566;0.1054;-0.0754;0.9916;0.0000;0.0000;1.0000;0.0283;1.9094;-1.0261;355.6944;358.0897;357.6319;28;1;2674.29143399149;EyeGaze;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;0.1000;NULL;NULL;1;NULL;05/17/2022 09:19:49;2050.26878994852;60.0000;36.0000;6.0000;5;3;0.3136;1.8500;2.1256;7;11
4.535485;NULL;8.0000;Recenter;TargetFound;1;NULL;NULL;NULL;UserMustRecenter;NULL;53566;0.1054;-0.0754;0.9916;0.0000;0.0000;1.0000;0.0283;1.9094;-1.0261;355.6944;358.0897;357.6319;NULL;NULL;2674.29546231181;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;4;05/17/2022 09:19:49;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
3.883024;NULL;8.0000;TargetFound;Recenter;1;NULL;NULL;NULL;UserRecentered;NULL;53716;0.0880;-0.0818;0.9928;0.0571;-0.0061;0.9984;0.0299;1.9098;-1.0267;355.4101;358.4490;357.3529;NULL;NULL;2675.99584072977;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;1700;05/17/2022 09:19:51;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
6.896684;12.6496;8.0000;NULL;NULL;1;4;6;NULL;TargetSpawned;NULL;54027;-0.0572;-0.1876;0.9806;-0.0885;-0.1088;0.9901;0.0294;1.9093;-1.0241;355.5818;358.6662;357.4606;NULL;NULL;2679.50365322977;NULL;NULL;0.0000;0.9229;1.9952;342.0000;180.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3507;05/17/2022 09:19:54;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;2.219996;8.0000;NULL;NULL;1;4;6;NULL;TargetLookedAt;NULL;54358;0.0605;-0.3588;0.9314;0.0207;-0.2878;0.9575;0.0316;1.9094;-1.0248;355.5429;358.6477;357.2676;NULL;NULL;2683.25810879618;NULL;NULL;0.0000;0.9229;1.9952;342.0000;180.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3754;05/17/2022 09:19:58;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;ShapeAnswer;NULL;55314;0.0852;-0.0859;0.9927;0.0620;0.0037;0.9981;0.0309;1.9105;-1.0221;354.6235;358.9142;357.4787;NULL;NULL;2694.06194180399;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Square;Unknown;NULL;NULL;NULL;NULL;10803;05/17/2022 09:20:09;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4.344965;NULL;8.0000;Recenter;TargetFound;2;NULL;NULL;NULL;UserMustRecenter;NULL;55314;0.0852;-0.0859;0.9927;0.0620;0.0037;0.9981;0.0309;1.9105;-1.0221;354.6235;358.9142;357.4787;NULL;NULL;2694.06566494852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:20:09;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
3.795553;NULL;8.0000;TargetFound;Recenter;2;NULL;NULL;NULL;UserRecentered;NULL;55325;0.0786;-0.1166;0.9901;0.0559;-0.0263;0.9981;0.0313;1.9105;-1.0224;354.5970;359.0048;357.4320;NULL;NULL;2694.1904208079;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;124;05/17/2022 09:20:09;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
1.106768;26.31243;8.0000;NULL;NULL;2;0;5;NULL;TargetSpawned;NULL;55504;0.0278;-0.1040;0.9942;0.0081;-0.0127;0.9999;0.0319;1.9106;-1.0238;354.6893;359.1445;357.4170;NULL;NULL;2696.19011563212;NULL;NULL;-1.1935;1.2263;1.8227;348.0000;156.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;1999;05/17/2022 09:20:11;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;6.21082;8.0000;NULL;NULL;2;0;5;NULL;TargetLookedAt;NULL;56161;-0.2647;-0.3549;0.8966;-0.2888;-0.2546;0.9229;0.0334;1.9106;-1.0241;354.5440;359.5751;357.1598;NULL;NULL;2703.60234707743;NULL;NULL;-1.1935;1.2263;1.8227;348.0000;156.0000;0.0000;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;7412;05/17/2022 09:20:18;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;NULL;NULL;NULL;NULL;2;NULL;NULL;NULL;ShapeAnswer;NULL;57049;0.0663;-0.0768;0.9948;0.0571;0.0209;0.9981;0.0320;1.9109;-1.0258;354.2110;359.6642;357.2106;NULL;NULL;2713.64470547587;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Triangle;Unknown;NULL;NULL;NULL;NULL;10042;05/17/2022 09:20:28;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
4.460103;NULL;8.0000;Recenter;TargetFound;3;NULL;NULL;NULL;UserMustRecenter;NULL;57049;0.0663;-0.0768;0.9948;0.0571;0.0209;0.9981;0.0320;1.9109;-1.0258;354.2110;359.6642;357.2106;NULL;NULL;2713.64855069071;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;3;05/17/2022 09:20:28;2050.26878994852;NULL;NULL;NULL;5;3;0.3136;1.8500;2.1256;NULL;NULL
3.547624;NULL;8.0000;TargetFound;Recenter;3;NULL;NULL;NULL;UserRecentered;NULL;57084;0.0602;-0.0945;0.9937;0.0489;0.0001;0.9988;0.0316;1.9106;-1.0256;354.4017;359.6089;357.2665;NULL;NULL;2714.0380770579;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10.0000;NULL;NULL;NULL;NULL;NULL;NULL;389;05/17/2022 09:20:29;2050.26878994852;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
